ID_1,Relacio,Relacio_Harmonitzada,ID_2
18660009,null,null,18660013
18660009,null,null,18660012
18660009,hijo,fill,18660011
18660009,null,esposa,18660010
18660009,cabeza,jefe,18660009
18660014,hijo,fill,18660021
18660014,hija,filla,18660020
18660014,hijo,fill,18660019
18660014,hija,filla,18660018
18660014,hija,filla,18660017
18660014,hijo,fill,18660016
18660014,null,esposa,18660015
18660014,cabeza,jefe,18660014
18660022,nieto,net,18660026
18660022,yerno,gendre,18660025
18660022,hija,filla,18660024
18660022,null,esposa,18660023
18660022,cabeza,jefe,18660022
18660259,hijo,fill,18660262
18660259,hermano,germa,18660261
18660259,null,esposa,18660260
18660259,cabeza,jefe,18660259
18660264,null,null,18660265
18660264,cabeza,jefe,18660264
18660209,hijo,fill,18660212
18660209,hija,filla,18660211
18660209,null,esposa,18660210
18660209,cabeza,jefe,18660209
18660213,hijo,fill,18660215
18660213,null,esposa,18660214
18660213,cabeza,jefe,18660213
18660144,null,null,18660145
18660144,cabeza,jefe,18660144
18660001,hija,filla,18660008
18660001,hijo,fill,18660007
18660001,hijo,fill,18660006
18660001,hija,filla,18660005
18660001,hija,filla,18660004
18660001,hijo,fill,18660003
18660001,null,esposa,18660002
18660001,cabeza,jefe,18660001
18660053,nieto,net,18660058
18660053,hija,filla,18660057
18660053,yerno,gendre,18660056
18660053,hija,filla,18660055
18660053,null,esposa,18660054
18660053,cabeza,jefe,18660053
18660059,hija,filla,18660064
18660059,hijo,fill,18660063
18660059,null,null,18660062
18660059,null,null,18660061
18660059,null,esposa,18660060
18660059,cabeza,jefe,18660059
18660065,nieta,neta,18660076
18660065,nieta,neta,18660075
18660065,nieto,net,18660074
18660065,nieta,neta,18660073
18660065,nieta,neta,18660072
18660065,nieto,net,18660071
18660065,nieta,neta,18660070
18660065,nieto,net,18660069
18660065,nuera,jove,18660068
18660065,hijo,fill,18660067
18660065,null,esposa,18660066
18660065,cabeza,jefe,18660065
18660077,madre,mare,18660083
18660077,hija,filla,18660082
18660077,hijo,fill,18660081
18660077,hija,filla,18660080
