Municipi,Id_Llar,Any_Padro,Carrer,Numero
CR,1,1866,parra,1
CR,2,1866,parra,3
CR,3,1866,parra,4
CR,4,1866,parra,6
CR,5,1866,calle de la parra,null
CR,12,1866,s antonio,3
CR,10,1866,s antonio,3
CR,13,1866,s antonio,6
CR,17,1866,s antonio,10
CR,18,1866,s antonio,11
CR,8,1866,s antonio,1
CR,9,1866,s antonio,2
SFLL,584,1881,s antonio,4
CR,16,1866,s anotonio,9
CR,15,1866,s anotonio,8
CR,11,1866,s anotonio,4
CR,22,1866,monjuich,null
CR,23,1866,monjuich,1
CR,24,1866,monjuich,2
CR,25,1866,monjuich,3
CR,26,1866,monjuich,4
CR,27,1866,monjuich,5
CR,28,1866,monjuich,6
CR,29,1866,de la fuente,1
CR,36,1866,angels,7
null,42,1866,null,null
CR,48,1866,campo,6
CR,63,1866,campo,15
CR,49,1866,campo,8
CR,64,1866,campo,null
CR,60,1866,campo,null
CR,47,1866,campo,null
CR,50,1866,campo,9
CR,65,1866,campo,16
CR,43,1866,campo,1
CR,51,1866,campo,10
CR,66,1866,campo,17
CR,44,1866,campo,2
CR,52,1866,campo,11
CR,67,1866,campo,18
CR,45,1866,campo,3
CR,68,1866,campo,19
CR,46,1866,campo,5
CR,61,1866,campo,12
CR,69,1866,campo,20
CR,62,1866,campo,13
CR,70,1866,campo,21
null,6,1866,null,null
CR,30,1866,calle de la fuente,2
CR,31,1866,calle de la fuente,3
CR,32,1866,calle de la fuente,4
null,7,1866,null,null
CR,14,1866,s abtonio,7
CR,37,1866,miralles,1
CR,38,1866,miralles,3
CR,39,1866,miralles,4
CR,40,1866,miralles,6
CR,41,1866,miralles,7
CR,19,1866,de duran,1
CR,20,1866,de duran,2
CR,21,1866,de duran,3
CR,33,1866,angels,2
CR,34,1866,angels,4
CR,35,1866,angels,5
SFLL,5,1878,carretera,3
SFLL,8,1878,carretª,4
SFLL,3,1881,carretera,4
SFLL,1,1878,carretera,1
SFLL,1,1881,carretera,1
SFLL,2,1881,carretera,2
SFLL,118,1889,carretera,2
SFLL,2,1878,carretera,null
SFLL,3,1878,carretera,null
SFLL,4,1878,carretera,null
SFLL,6,1878,carretera,null
SFLL,7,1878,carretera,null
SFLL,154,1878,carretera,null
SFLL,157,1878,carretera,null
SFLL,158,1878,carretera,null
SFLL,159,1878,carretera,null
SFLL,160,1878,carretera,null
SFLL,161,1878,carretera,null
SFLL,162,1878,carretera,null
SFLL,163,1878,carretera,null
SFLL,658,1878,carretera,null
SFLL,321,1838,carretera,7
SFLL,5,1881,carretera,7
SFLL,324,1838,carretera,10
SFLL,7,1881,carretera,10
SFLL,119,1889,carretera,10
SFLL,326,1838,carretera,12
SFLL,9,1881,carretera,12
SFLL,120,1889,carretera,12
SFLL,328,1838,carretera,14
SFLL,11,1881,carretera,14
SFLL,121,1889,carretera,14
SFLL,320,1838,carretera,6
SFLL,660,1878,carretera,6
SFLL,4,1881,carretera,6
SFLL,322,1838,carretera,8
SFLL,323,1838,carretera,9
SFLL,6,1881,carretera,9
SFLL,325,1838,carretera,11
SFLL,8,1881,carretera,11
SFLL,6,1889,carretera,11
SFLL,327,1838,carretera,13
SFLL,10,1881,carretera,13
SFLL,7,1889,carretera,13
SFLL,329,1838,carretera,15
SFLL,12,1881,carretera,15
SFLL,8,1889,carretera,15
SFLL,330,1838,carretera,16
SFLL,13,1881,carretera,16
SFLL,122,1889,carretera,16
SFLL,331,1838,carretera,17
SFLL,14,1881,carretera,17
SFLL,9,1889,carretera,17
SFLL,332,1838,carretera,18
SFLL,333,1838,carretera,18
SFLL,334,1838,carretera,18
SFLL,24,1878,carretª,18
SFLL,15,1881,carretera,18
SFLL,123,1889,carretera,18
SFLL,335,1838,carretera,19
SFLL,25,1878,carretera,19
SFLL,17,1881,carretera,19
SFLL,10,1889,carretera,19
SFLL,336,1838,carretera,20
SFLL,26,1878,carretera,20
SFLL,18,1881,carretera,20
SFLL,124,1889,carretera,20
SFLL,337,1838,carretera,21
SFLL,338,1838,carretera,21
SFLL,27,1878,carretera,21
SFLL,19,1881,carretera,21
SFLL,11,1889,carretera,21
SFLL,339,1838,carretera,22
SFLL,20,1881,carretera,22
SFLL,125,1889,carretera,22
SFLL,340,1838,carretera,23
SFLL,341,1838,carretera,23
SFLL,21,1881,carretera,23
SFLL,12,1889,carretera,23
SFLL,342,1838,carretera,24
SFLL,22,1881,carretera,24
SFLL,126,1889,carretera,24
SFLL,343,1838,carretera,25
SFLL,23,1881,carretera,25
SFLL,13,1889,carretera,25
SFLL,344,1838,carretera,26
SFLL,24,1881,carretera,26
SFLL,127,1889,carretera,26
SFLL,345,1838,carretera,27
SFLL,33,1878,carretera,27
SFLL,25,1881,carretera,27
SFLL,14,1889,carretera,27
SFLL,346,1838,carretera,28
SFLL,347,1838,carretera,28
SFLL,34,1878,carretera,28
SFLL,35,1878,carretera,28
SFLL,26,1881,carretera,28
SFLL,128,1889,carretera,28
SFLL,348,1838,carretera,29
SFLL,36,1878,carretera,29
SFLL,27,1881,carretera,29
SFLL,349,1838,carretera,30
SFLL,37,1878,carretera,30
SFLL,28,1881,carretera,30
SFLL,129,1889,carretera,30
SFLL,350,1838,carretera,31
SFLL,29,1881,carretera,31
SFLL,15,1889,carretera,31
SFLL,351,1838,carretera,33
SFLL,352,1838,carretera,33
SFLL,39,1878,carretera,33
SFLL,31,1881,carretera,33
SFLL,16,1889,carretera,33
SFLL,353,1838,carretera,35
SFLL,40,1878,carretera,35
SFLL,33,1881,carretera,35
SFLL,17,1889,carretera,35
SFLL,354,1838,carretera,36
SFLL,355,1838,carretera,36
SFLL,41,1878,carretera,36
SFLL,42,1878,carretera,36
SFLL,34,1881,carretera,36
SFLL,133,1889,carretera,36
SFLL,356,1838,carretera,37
SFLL,357,1838,carretera,37
SFLL,43,1878,carretera,37
SFLL,35,1881,carretera,37
SFLL,18,1889,carretera,37
SFLL,358,1838,carretera,38
SFLL,44,1878,carretera,38
SFLL,36,1881,carretera,38
SFLL,134,1889,carretera,38
SFLL,359,1838,carretera,39
SFLL,45,1878,carretera,39
SFLL,37,1881,carretera,39
SFLL,19,1889,carretera,39
SFLL,360,1838,carretera,40
SFLL,38,1881,carretera,40
SFLL,135,1889,carretera,40
SFLL,361,1838,carretera,41
SFLL,46,1878,carretera,41
SFLL,39,1881,carretera,41
SFLL,20,1889,carretera,41
SFLL,362,1838,carretera,42
SFLL,47,1878,carretera,42
SFLL,40,1881,carretera,42
SFLL,136,1889,carretera,42
SFLL,363,1838,carretera,43
SFLL,48,1878,carretera,43
SFLL,41,1881,carretera,43
SFLL,21,1889,carretera,43
SFLL,364,1838,carretera,49
SFLL,55,1878,carretera,49
SFLL,47,1881,carretera,49
SFLL,24,1889,carretera,49
SFLL,365,1838,carretera,50
SFLL,659,1878,carretera,50
SFLL,48,1881,carretera,50
SFLL,140,1889,carretera,50
SFLL,366,1838,carretera,51
SFLL,25,1889,carretera,51
SFLL,367,1838,carretera,52
SFLL,50,1881,carretera,52
SFLL,141,1889,carretera,52
SFLL,368,1838,carretera,53
SFLL,61,1878,carretera,53
SFLL,51,1881,carretera,53
SFLL,640,1881,carretera,53
SFLL,26,1889,carretera,53
SFLL,38,1878,carretera,32
SFLL,30,1881,carretera,32
SFLL,131,1889,carretera,32
SFLL,49,1878,carretera,44
SFLL,50,1878,carretera,44
SFLL,42,1881,carretera,44
