Id_A,SAME_AS,Id_B
18572480,SAME_AS,18781380
18572452,SAME_AS,18781385
18570331,SAME_AS,18781386
18571895,SAME_AS,18781390
18571896,SAME_AS,18781391
18572298,SAME_AS,18781395
18571848,SAME_AS,18781396
18281351,SAME_AS,18330116
18281206,SAME_AS,18330238
18281399,SAME_AS,18330251
18281313,SAME_AS,18330267
18280376,SAME_AS,18330752
18281601,SAME_AS,18330810
18280579,SAME_AS,18331124
18330015,SAME_AS,18380025
18282011,SAME_AS,18380112
18380025,SAME_AS,18390020
18330015,SAME_AS,18390020
18380077,SAME_AS,18390069
18282054,SAME_AS,18390295
18330048,SAME_AS,18390545
18281351,SAME_AS,18390606
18330116,SAME_AS,18390606
18780055,SAME_AS,18810057
18780056,SAME_AS,18810058
18780057,SAME_AS,18810059
18571250,SAME_AS,18810061
18780041,SAME_AS,18810061
18571832,SAME_AS,18810062
18780042,SAME_AS,18810062
18281206,SAME_AS,18390726
18330238,SAME_AS,18390726
18331341,SAME_AS,18391084
18330706,SAME_AS,18391203
18330752,SAME_AS,18391290
18280376,SAME_AS,18391290
18331124,SAME_AS,18391540
18280579,SAME_AS,18391540
18390157,SAME_AS,18570063
18380077,SAME_AS,18570222
18390069,SAME_AS,18570222
18390659,SAME_AS,18570465
18390460,SAME_AS,18570771
18390814,SAME_AS,18571184
18380112,SAME_AS,18571204
18282011,SAME_AS,18571204
18330607,SAME_AS,18571531
18330752,SAME_AS,18571806
18391290,SAME_AS,18571806
18280376,SAME_AS,18571806
18391203,SAME_AS,18571821
18330706,SAME_AS,18571821
18390647,SAME_AS,18571865
18331178,SAME_AS,18571945
18570832,SAME_AS,18780007
18570158,SAME_AS,18780023
18570159,SAME_AS,18780024
18572117,SAME_AS,18780026
18572070,SAME_AS,18780035
18571250,SAME_AS,18780041
18571832,SAME_AS,18780042
18571114,SAME_AS,18780059
18570131,SAME_AS,18780065
18570053,SAME_AS,18780076
18571100,SAME_AS,18780093
18570033,SAME_AS,18780102
18570063,SAME_AS,18780114
18390157,SAME_AS,18780114
18570067,SAME_AS,18780116
18570044,SAME_AS,18780117
18570549,SAME_AS,18780120
18570590,SAME_AS,18780126
18570235,SAME_AS,18780129
18570524,SAME_AS,18780141
18570528,SAME_AS,18780143
18570561,SAME_AS,18780154
18570080,SAME_AS,18780157
18570077,SAME_AS,18780158
18570083,SAME_AS,18780159
18571928,SAME_AS,18780161
18570851,SAME_AS,18780167
18572169,SAME_AS,18780170
18571045,SAME_AS,18780172
18571047,SAME_AS,18780173
18571048,SAME_AS,18780174
18572072,SAME_AS,18780178
18390176,SAME_AS,18780179
18570564,SAME_AS,18780182
18572102,SAME_AS,18780185
18571002,SAME_AS,18780187
18572104,SAME_AS,18780188
18572267,SAME_AS,18780193
18570455,SAME_AS,18780194
18572114,SAME_AS,18780195
18570562,SAME_AS,18780196
18570153,SAME_AS,18780202
18570574,SAME_AS,18780204
18570174,SAME_AS,18780206
18570677,SAME_AS,18780209
18570577,SAME_AS,18780215
18572388,SAME_AS,18780223
18570860,SAME_AS,18780226
18571126,SAME_AS,18780227
18571715,SAME_AS,18780230
18570124,SAME_AS,18780237
18570599,SAME_AS,18780260
18570604,SAME_AS,18780267
18570269,SAME_AS,18780276
18570714,SAME_AS,18780280
18571632,SAME_AS,18780288
18571635,SAME_AS,18780290
