IND,VIU,Location,Year,HOUSE_ID
18660008,VIU,CR,1866,1
18660007,VIU,CR,1866,1
18660006,VIU,CR,1866,1
18660005,VIU,CR,1866,1
18660004,VIU,CR,1866,1
18660003,VIU,CR,1866,1
18660002,VIU,CR,1866,1
18660001,VIU,CR,1866,1
18660058,VIU,CR,1866,2
18660057,VIU,CR,1866,2
18660056,VIU,CR,1866,2
18660055,VIU,CR,1866,2
18660054,VIU,CR,1866,2
18660053,VIU,CR,1866,2
18660111,VIU,CR,1866,3
18660110,VIU,CR,1866,3
18660109,VIU,CR,1866,3
18660108,VIU,CR,1866,3
18660107,VIU,CR,1866,3
18660159,VIU,CR,1866,4
18660158,VIU,CR,1866,4
18660013,VIU,CR,1866,5
18660012,VIU,CR,1866,5
18660011,VIU,CR,1866,5
18660010,VIU,CR,1866,5
18660009,VIU,CR,1866,5
18660021,VIU,CR,1866,12
18660020,VIU,CR,1866,12
18660019,VIU,CR,1866,12
18660018,VIU,CR,1866,12
18660017,VIU,CR,1866,12
18660016,VIU,CR,1866,12
18660015,VIU,CR,1866,12
18660014,VIU,CR,1866,12
18660258,VIU,CR,1866,10
18660257,VIU,CR,1866,10
18660256,VIU,CR,1866,10
18660255,VIU,CR,1866,10
18660254,VIU,CR,1866,10
18660253,VIU,CR,1866,10
18660252,VIU,CR,1866,10
18660251,VIU,CR,1866,10
18660250,VIU,CR,1866,10
18660076,VIU,CR,1866,13
18660075,VIU,CR,1866,13
18660074,VIU,CR,1866,13
18660073,VIU,CR,1866,13
18660072,VIU,CR,1866,13
18660071,VIU,CR,1866,13
18660070,VIU,CR,1866,13
18660069,VIU,CR,1866,13
18660068,VIU,CR,1866,13
18660067,VIU,CR,1866,13
18660066,VIU,CR,1866,13
18660065,VIU,CR,1866,13
18660083,VIU,CR,1866,17
18660082,VIU,CR,1866,17
18660081,VIU,CR,1866,17
18660080,VIU,CR,1866,17
18660079,VIU,CR,1866,17
18660078,VIU,CR,1866,17
18660077,VIU,CR,1866,17
18660134,VIU,CR,1866,18
18660133,VIU,CR,1866,18
18660132,VIU,CR,1866,18
18660131,VIU,CR,1866,18
18660130,VIU,CR,1866,18
18660129,VIU,CR,1866,18
18660128,VIU,CR,1866,18
18660127,VIU,CR,1866,18
18660126,VIU,CR,1866,18
18660166,VIU,CR,1866,8
18660165,VIU,CR,1866,8
18660164,VIU,CR,1866,8
18660163,VIU,CR,1866,8
18660162,VIU,CR,1866,8
18660161,VIU,CR,1866,8
18660160,VIU,CR,1866,8
18660215,VIU,CR,1866,9
18660214,VIU,CR,1866,9
18660213,VIU,CR,1866,9
18812731,VIU,SFLL,1881,584
18812730,VIU,SFLL,1881,584
18812729,VIU,SFLL,1881,584
18812728,VIU,SFLL,1881,584
18812727,VIU,SFLL,1881,584
18812726,VIU,SFLL,1881,584
18812725,VIU,SFLL,1881,584
18812724,VIU,SFLL,1881,584
18660026,VIU,CR,1866,16
18660025,VIU,CR,1866,16
18660024,VIU,CR,1866,16
18660023,VIU,CR,1866,16
18660022,VIU,CR,1866,16
18660173,VIU,CR,1866,15
18660172,VIU,CR,1866,15
18660171,VIU,CR,1866,15
18660170,VIU,CR,1866,15
18660169,VIU,CR,1866,15
18660168,VIU,CR,1866,15
18660167,VIU,CR,1866,15
18660296,VIU,CR,1866,11
18660295,VIU,CR,1866,11
18660294,VIU,CR,1866,11
18660293,VIU,CR,1866,11
18660299,VIU,CR,1866,22
18660298,VIU,CR,1866,22
18660297,VIU,CR,1866,22
18660029,VIU,CR,1866,22
18660028,VIU,CR,1866,22
18660027,VIU,CR,1866,22
18660087,VIU,CR,1866,23
18660086,VIU,CR,1866,23
18660085,VIU,CR,1866,23
18660084,VIU,CR,1866,23
18660139,VIU,CR,1866,24
18660138,VIU,CR,1866,24
18660137,VIU,CR,1866,24
18660136,VIU,CR,1866,24
18660135,VIU,CR,1866,24
18660185,VIU,CR,1866,25
18660184,VIU,CR,1866,25
18660183,VIU,CR,1866,25
18660182,VIU,CR,1866,25
18660181,VIU,CR,1866,25
18660180,VIU,CR,1866,25
18660225,VIU,CR,1866,26
18660224,VIU,CR,1866,26
18660223,VIU,CR,1866,26
18660222,VIU,CR,1866,26
18660221,VIU,CR,1866,26
18660220,VIU,CR,1866,26
18660265,VIU,CR,1866,27
18660264,VIU,CR,1866,27
18660308,VIU,CR,1866,28
18660307,VIU,CR,1866,28
18660306,VIU,CR,1866,28
18660305,VIU,CR,1866,28
18660304,VIU,CR,1866,28
18660303,VIU,CR,1866,28
18660302,VIU,CR,1866,28
18660301,VIU,CR,1866,28
18660300,VIU,CR,1866,28
18660325,VIU,CR,1866,29
18660035,VIU,CR,1866,29
18660034,VIU,CR,1866,29
18660033,VIU,CR,1866,29
18660032,VIU,CR,1866,29
18660031,VIU,CR,1866,29
18660030,VIU,CR,1866,29
18660326,VIU,CR,1866,36
18660095,VIU,CR,1866,36
18660094,VIU,CR,1866,36
18660042,VIU,CR,1866,36
18660041,VIU,CR,1866,36
18660040,VIU,CR,1866,36
18660039,VIU,CR,1866,36
18660038,VIU,CR,1866,36
18660037,VIU,CR,1866,36
18660036,VIU,CR,1866,36
18660356,VIU,CR,1866,48
18660355,VIU,CR,1866,48
18660354,VIU,CR,1866,48
18660353,VIU,CR,1866,48
18660352,VIU,CR,1866,48
18660046,VIU,CR,1866,48
18660045,VIU,CR,1866,48
18660358,VIU,CR,1866,63
18660357,VIU,CR,1866,63
18660052,VIU,CR,1866,63
18660051,VIU,CR,1866,63
18660050,VIU,CR,1866,63
18660049,VIU,CR,1866,63
18660048,VIU,CR,1866,63
18660047,VIU,CR,1866,63
18660105,VIU,CR,1866,49
18660104,VIU,CR,1866,49
18660103,VIU,CR,1866,49
18660102,VIU,CR,1866,49
18660101,VIU,CR,1866,49
18660100,VIU,CR,1866,49
18660099,VIU,CR,1866,49
18660106,VIU,CR,1866,64
18660286,VIU,CR,1866,60
18660285,VIU,CR,1866,60
18660284,VIU,CR,1866,60
